RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,Password,Email,Role
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,6,0,5,1234,b396_15683553@gmail.com,ROLE_USER
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,9,1,6,1234,8724_15702298@gmail.com,ROLE_USER
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,2,1,6,1234,bbdd_15569590@gmail.com,ROLE_USER
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,6,0,6,1234,88df_15760861@gmail.com,ROLE_USER
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,5,0,6,1234,8f51_15630053@gmail.com,ROLE_USER
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,3,0,4,1234,9f0d_15647091@gmail.com,ROLE_USER
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1,1,7,1234,be17_15623944@gmail.com,ROLE_USER
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,3,0,6,1234,93f9_15804771@gmail.com,ROLE_USER
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,5,0,5,1234,9912_15651280@gmail.com,ROLE_USER
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,7,0,5,1234,823a_15773469@gmail.com,ROLE_USER
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,9,0,5,1234,9aec_15702014@gmail.com,ROLE_USER
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,5,0,6,1234,ad99_15751208@gmail.com,ROLE_USER
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,5,0,5,1234,b074_15592461@gmail.com,ROLE_USER
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,2,0,6,1234,a3b7_15789484@gmail.com,ROLE_USER
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,6,0,5,1234,843f_15696061@gmail.com,ROLE_USER
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,10,0,6,1234,9e85_15641582@gmail.com,ROLE_USER
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,6,0,5,1234,a892_15638424@gmail.com,ROLE_USER
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,1,0,4,1234,9a82_15755648@gmail.com,ROLE_USER
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,2,1,6,1234,8f3a_15703793@gmail.com,ROLE_USER
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,2,0,5,1234,9339_15620344@gmail.com,ROLE_USER
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,3,0,6,1234,8c7a_15812518@gmail.com,ROLE_USER
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,3,0,5,1234,a12d_15779052@gmail.com,ROLE_USER
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,8,0,6,1234,9e9d_15770811@gmail.com,ROLE_USER
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,2,0,4,1234,bd9b_15780961@gmail.com,ROLE_USER
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,7,0,6,1234,b311_15614049@gmail.com,ROLE_USER
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,8,0,5,1234,b793_15662085@gmail.com,ROLE_USER
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,10,0,5,1234,80bb_15575185@gmail.com,ROLE_USER
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,5,0,6,1234,b0be_15803136@gmail.com,ROLE_USER
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,9,0,5,1234,8390_15706021@gmail.com,ROLE_USER
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,7,1,5,1234,a11b_15663706@gmail.com,ROLE_USER
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,2,0,6,1234,ab7a_15641732@gmail.com,ROLE_USER
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,8,0,5,1234,a117_15701164@gmail.com,ROLE_USER
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1,0,6,1234,88dd_15738751@gmail.com,ROLE_USER
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,6,0,7,1234,b7a4_15805254@gmail.com,ROLE_USER
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,7,1,4,1234,8e3e_15762418@gmail.com,ROLE_USER
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,8,0,5,1234,a87f_15625759@gmail.com,ROLE_USER
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,5,1,6,1234,a144_15622897@gmail.com,ROLE_USER
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,8,0,5,1234,b160_15767954@gmail.com,ROLE_USER
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,9,1,6,1234,a2c2_15757535@gmail.com,ROLE_USER
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,8,0,6,1234,beb7_15731511@gmail.com,ROLE_USER
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,6,0,6,1234,b6bd_15809248@gmail.com,ROLE_USER
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,9,0,5,1234,9362_15640635@gmail.com,ROLE_USER
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,5,0,6,1234,825c_15676966@gmail.com,ROLE_USER
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,7,0,5,1234,96fb_15699461@gmail.com,ROLE_USER
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,4,0,6,1234,97bb_15738721@gmail.com,ROLE_USER
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,10,0,5,1234,9e70_15693683@gmail.com,ROLE_USER
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,5,0,4,1234,b9ec_15604348@gmail.com,ROLE_USER
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,1,0,5,1234,bbcc_15633059@gmail.com,ROLE_USER
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,9,0,6,1234,ace2_15808582@gmail.com,ROLE_USER
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,9,0,6,1234,8387_15743192@gmail.com,ROLE_USER
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,3,0,5,1234,ac68_15580146@gmail.com,ROLE_USER
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,3,0,6,1234,98d4_15776605@gmail.com,ROLE_USER
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,9,1,7,1234,991e_15804919@gmail.com,ROLE_USER
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,2,1,6,1234,9360_15613854@gmail.com,ROLE_USER
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,1,0,5,1234,b8a2_15599195@gmail.com,ROLE_USER
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,2,0,6,1234,9a82_15812878@gmail.com,ROLE_USER
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,4,0,5,1234,99cb_15602312@gmail.com,ROLE_USER
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,5,1,5,1234,8dcd_15744689@gmail.com,ROLE_USER
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,4,0,5,1234,8a79_15803526@gmail.com,ROLE_USER
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,2,0,6,1234,83f9_15665790@gmail.com,ROLE_USER
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,5,0,6,1234,a2cd_15715951@gmail.com,ROLE_USER
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,2,0,6,1234,8158_15591100@gmail.com,ROLE_USER
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,6,1,5,1234,aed4_15609618@gmail.com,ROLE_USER
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,4,0,5,1234,b4d5_15675522@gmail.com,ROLE_USER
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,6,0,6,1234,b9f6_15705512@gmail.com,ROLE_USER
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,2,0,6,1234,83a7_15698028@gmail.com,ROLE_USER
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,10,1,5,1234,9c6b_15661670@gmail.com,ROLE_USER
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,7,0,5,1234,87da_15600781@gmail.com,ROLE_USER
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,2,0,5,1234,9da4_15682472@gmail.com,ROLE_USER
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,5,0,6,1234,9fba_15580203@gmail.com,ROLE_USER
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,8,0,6,1234,95d4_15690673@gmail.com,ROLE_USER
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,10,0,6,1234,9776_15760085@gmail.com,ROLE_USER
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,10,0,5,1234,8e6b_15779659@gmail.com,ROLE_USER
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,6,1,6,1234,bbad_15627360@gmail.com,ROLE_USER
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,1,1,6,1234,9b9e_15671137@gmail.com,ROLE_USER
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,3,1,6,1234,9baf_15782688@gmail.com,ROLE_USER
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,9,0,6,1234,9e8c_15575492@gmail.com,ROLE_USER
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,9,0,4,1234,a464_15591607@gmail.com,ROLE_USER
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,7,0,5,1234,959f_15740404@gmail.com,ROLE_USER
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,6,0,5,1234,a5e8_15718369@gmail.com,ROLE_USER
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,2,0,6,1234,873c_15677871@gmail.com,ROLE_USER
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,1,0,5,1234,a30b_15642004@gmail.com,ROLE_USER
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,7,0,6,1234,ae5f_15712543@gmail.com,ROLE_USER
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,2,0,6,1234,a0ec_15584518@gmail.com,ROLE_USER
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,9,0,5,1234,a364_15802381@gmail.com,ROLE_USER
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,5,0,6,1234,acdb_15610156@gmail.com,ROLE_USER
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,4,1,6,1234,be1e_15594408@gmail.com,ROLE_USER
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,1,1,5,1234,b7b9_15640905@gmail.com,ROLE_USER
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,10,0,6,1234,94eb_15698932@gmail.com,ROLE_USER
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,10,0,5,1234,832d_15724944@gmail.com,ROLE_USER
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,10,0,6,1234,940c_15628145@gmail.com,ROLE_USER
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,8,1,6,1234,8e1d_15713483@gmail.com,ROLE_USER
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,7,1,5,1234,a578_15612350@gmail.com,ROLE_USER
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,3,0,4,1234,8089_15800703@gmail.com,ROLE_USER
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,8,0,5,1234,808c_15705707@gmail.com,ROLE_USER
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,2,0,6,1234,a2d6_15754105@gmail.com,ROLE_USER
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,4,0,6,1234,92b9_15703264@gmail.com,ROLE_USER
150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,1,0,5,1234,9e27_15794413@gmail.com,ROLE_USER
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,5,0,5,1234,a2c9_15650237@gmail.com,ROLE_USER
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,8,1,6,1234,9c65_15759618@gmail.com,ROLE_USER
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,10,0,6,1234,9f43_15811589@gmail.com,ROLE_USER
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,5,0,6,1234,9721_15689044@gmail.com,ROLE_USER
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,6,0,6,1234,9c10_15709368@gmail.com,ROLE_USER
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,1,1,6,1234,b0db_15679145@gmail.com,ROLE_USER
157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,5,0,5,1234,8166_15655007@gmail.com,ROLE_USER
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,5,0,5,1234,a07f_15623595@gmail.com,ROLE_USER
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,6,0,7,1234,a362_15589975@gmail.com,ROLE_USER
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,6,0,5,1234,bfd9_15804017@gmail.com,ROLE_USER
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,5,0,4,1234,b36d_15692132@gmail.com,ROLE_USER
162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,5,0,5,1234,b181_15641122@gmail.com,ROLE_USER
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,3,0,6,1234,9b4e_15630910@gmail.com,ROLE_USER
164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,6,0,6,1234,a426_15680772@gmail.com,ROLE_USER
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,3,1,5,1234,90b3_15658929@gmail.com,ROLE_USER
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,8,0,5,1234,9b74_15585388@gmail.com,ROLE_USER
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,9,1,4,1234,b255_15724623@gmail.com,ROLE_USER
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,10,0,6,1234,a3ec_15588537@gmail.com,ROLE_USER
169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,2,1,6,1234,8c1a_15574692@gmail.com,ROLE_USER
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,3,0,4,1234,acb4_15611325@gmail.com,ROLE_USER
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,9,0,5,1234,b8a2_15587562@gmail.com,ROLE_USER
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,8,0,5,1234,bd2d_15613172@gmail.com,ROLE_USER
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,1,1,6,1234,b701_15651022@gmail.com,ROLE_USER
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,6,0,5,1234,878a_15586310@gmail.com,ROLE_USER
175,15625524,Rowe,512,France,Male,40,5,0.0,2,1,1,8,0,6,1234,b048_15625524@gmail.com,ROLE_USER
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,2,0,5,1234,86f1_15755209@gmail.com,ROLE_USER
177,15645248,Ho,510,France,Female,30,0,0.0,2,1,1,7,0,5,1234,ae6c_15645248@gmail.com,ROLE_USER
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,9,0,6,1234,a626_15790355@gmail.com,ROLE_USER
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,5,0,6,1234,805b_15762615@gmail.com,ROLE_USER
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,1,1,6,1234,b042_15625426@gmail.com,ROLE_USER
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,1,0,6,1234,a526_15716334@gmail.com,ROLE_USER
182,15789669,Hsia,510,France,Male,65,2,0.0,2,1,1,3,0,7,1234,9143_15789669@gmail.com,ROLE_USER
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,9,0,6,1234,be31_15621075@gmail.com,ROLE_USER
184,15810845,T'ang,636,France,Male,42,2,0.0,2,1,1,3,0,6,1234,825b_15810845@gmail.com,ROLE_USER
185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,1,1,6,1234,bde5_15719377@gmail.com,ROLE_USER
186,15654506,Chang,514,France,Male,32,8,0.0,2,1,0,5,0,5,1234,a511_15654506@gmail.com,ROLE_USER
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,10,0,6,1234,9fe8_15771977@gmail.com,ROLE_USER
188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,7,0,6,1234,b83f_15708710@gmail.com,ROLE_USER
189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,10,0,5,1234,a03d_15726676@gmail.com,ROLE_USER
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,8,0,5,1234,94a9_15587421@gmail.com,ROLE_USER
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,5,1,6,1234,8b50_15726931@gmail.com,ROLE_USER
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,1,0,6,1234,a176_15771086@gmail.com,ROLE_USER
193,15756850,Golovanov,479,France,Male,40,1,0.0,2,0,0,6,0,6,1234,ab14_15756850@gmail.com,ROLE_USER
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,5,0,5,1234,b6cd_15702741@gmail.com,ROLE_USER
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,7,0,5,1234,867e_15679200@gmail.com,ROLE_USER
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,1,0,5,1234,b7b7_15594815@gmail.com,ROLE_USER
197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,3,0,5,1234,9a21_15635905@gmail.com,ROLE_USER
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,8,0,6,1234,826f_15777892@gmail.com,ROLE_USER
199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,3,0,6,1234,a33b_15656176@gmail.com,ROLE_USER
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,1,0,5,1234,bad9_15811127@gmail.com,ROLE_USER
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,1,0,5,1234,aaa2_15604482@gmail.com,ROLE_USER
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,7,0,6,1234,a82e_15622911@gmail.com,ROLE_USER
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,8,1,6,1234,8060_15600974@gmail.com,ROLE_USER
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,1,1,6,1234,b02d_15727868@gmail.com,ROLE_USER
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,5,0,5,1234,a21c_15627801@gmail.com,ROLE_USER
206,15773039,Ku,550,France,Male,37,3,0.0,1,1,1,9,0,6,1234,b553_15773039@gmail.com,ROLE_USER
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,10,1,6,1234,998b_15755262@gmail.com,ROLE_USER
208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,8,0,5,1234,a201_15679531@gmail.com,ROLE_USER
209,15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,8,1,6,1234,9814_15684181@gmail.com,ROLE_USER
210,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,8,0,6,1234,96dd_15612087@gmail.com,ROLE_USER
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,9,0,5,1234,a172_15752047@gmail.com,ROLE_USER
212,15624592,Tan,603,France,Male,31,8,0.0,2,1,1,9,0,5,1234,a345_15624592@gmail.com,ROLE_USER
213,15573152,Glassman,620,France,Female,41,9,0.0,2,0,0,5,0,6,1234,8c2e_15573152@gmail.com,ROLE_USER
